log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
18.42651126136457,0.17,0.64,280.0,10.82390093347325,1.478,0.011,0.217,0.225,0.0,0.0,0.0,0.0,1.0,0.0
18.91960102378411,0.17,0.64,280.0,10.87921517290216,1.478,0.011,0.217,0.225,0.0,0.0,0.0,0.0,1.0,0.0
19.07918124604763,0.17,0.64,280.0,10.88576944017869,1.478,0.011,0.217,0.225,0.0,0.0,0.0,0.0,1.0,0.0
19.26481782300954,0.17,0.64,280.0,10.80364188040415,1.478,0.011,0.217,0.225,0.0,0.0,0.0,0.0,1.0,0.0
18.42651126136457,0.27,0.74,280.0,10.82390093347325,1.33,0.023,0.26,0.18,0.0,1.0,0.0,0.0,0.0,0.0
19.07918124604763,0.27,0.74,280.0,10.88576944017869,1.33,0.023,0.26,0.18,0.0,1.0,0.0,0.0,0.0,0.0
19.26481782300954,0.27,0.74,280.0,10.80364188040415,1.33,0.023,0.26,0.18,0.0,1.0,0.0,0.0,0.0,0.0
18.37657695705651,0.11,0.58,282.7777777777778,10.84434659463419,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
18.82216807936802,0.11,0.58,282.7777777777778,10.81550560073682,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
19.00860017176192,0.11,0.58,283.3333333333333,10.78963426142059,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
19.19865708695442,0.11,0.58,283.3333333333333,10.76233258800171,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
18.37657695705651,0.11,0.58,282.7777777777778,10.84434659463419,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
18.82216807936802,0.11,0.58,282.7777777777778,10.81550560073682,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
19.00860017176192,0.11,0.58,283.3333333333333,10.78963426142059,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
19.19865708695442,0.11,0.58,283.3333333333333,10.76233258800171,1.285,0.017,0.215,0.215,1.0,0.0,0.0,0.0,0.0,0.0
18.37657695705651,0.053,0.965,282.7777777777778,10.84434659463419,1.375,0.02,0.095,0.4,0.0,1.0,0.0,0.0,0.0,0.0
18.82216807936802,0.053,0.965,282.7777777777778,10.81550560073682,1.375,0.02,0.095,0.4,0.0,1.0,0.0,0.0,0.0,0.0
19.00860017176192,0.053,0.965,283.3333333333333,10.78963426142059,1.375,0.02,0.095,0.4,0.0,1.0,0.0,0.0,0.0,0.0
19.19865708695442,0.053,0.965,283.3333333333333,10.76233258800171,1.375,0.02,0.095,0.4,0.0,1.0,0.0,0.0,0.0,0.0
18.49554433754645,0.06,0.55,292.7777777777778,10.97554843154114,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.07188200730613,0.06,0.55,291.6666666666667,10.90097754243504,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.3654879848909,0.06,0.55,291.6666666666667,10.86929499355822,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.48855071650044,0.06,0.55,291.6666666666667,10.89318167119094,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
18.49554433754645,0.06,0.55,292.7777777777778,10.97554843154114,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.07188200730613,0.06,0.55,291.6666666666667,10.90097754243504,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.3654879848909,0.06,0.55,291.6666666666667,10.86929499355822,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
19.48855071650044,0.06,0.55,291.6666666666667,10.89318167119094,1.32,0.005,0.23,0.22,1.0,0.0,0.0,0.0,0.0,0.0
18.49554433754645,0.03,0.06,292.7777777777778,10.97554843154114,1.28,0.005,0.11,0.47,0.0,1.0,0.0,0.0,0.0,0.0
19.07188200730613,0.03,0.06,291.6666666666667,10.90097754243504,1.28,0.005,0.11,0.47,0.0,1.0,0.0,0.0,0.0,0.0
19.3654879848909,0.03,0.06,291.6666666666667,10.86929499355822,1.28,0.005,0.11,0.47,0.0,1.0,0.0,0.0,0.0,0.0
19.48855071650044,0.03,0.06,291.6666666666667,10.89318167119094,1.28,0.005,0.11,0.47,0.0,1.0,0.0,0.0,0.0,0.0
19.69372694892365,0.087,0.64,262.0,11.08051959681989,1.26,0.017,0.176,0.29,0.0,0.0,1.0,0.0,0.0,0.0
19.33041377334919,0.087,0.64,265.0,10.90602221893891,1.26,0.017,0.176,0.29,0.0,0.0,1.0,0.0,0.0,0.0
19.51054501020661,0.087,0.64,264.0,10.98156406993447,1.26,0.017,0.176,0.29,0.0,0.0,1.0,0.0,0.0,0.0
19.82865989653532,0.087,0.64,262.0,11.24038818969299,1.26,0.017,0.176,0.29,0.0,0.0,1.0,0.0,0.0,0.0
20.05307844348342,0.087,0.64,262.0,11.46480673664109,1.26,0.017,0.176,0.29,0.0,0.0,1.0,0.0,0.0,0.0
20.03502928220237,0.09,0.65,262.9186574027526,11.36108728356828,1.27,0.01,0.169,0.31,0.0,0.0,1.0,0.0,0.0,0.0
